Site;TipoNome;Estado;Municipio;Endereço;Técnico;Matrícula;Dono;Ano_Mes;id_anomes_site
PEIIRC001OU;CDMA;PE;IGUARACI;R NE SANTANA, S/N CENTRO;;0.0;;202210;202210PEIIRC001OU
PEIQPA001OU;CDMA;PE;QUIXABA;R PROJETADA, S/N CENTRO;;0.0;;202210;202210PEIQPA001OU
PEISCB001OU;CDMA;PE;SANTA CRUZ DA BAIXA VERDE;R SEBASTIAO JOSE DA SILVA , S/N CENTRO;;0.0;;202210;202210PEISCB001OU
PEISNF001OU;CDMA;PE;SANTA FILOMENA;R GERMINO PEREIRA DA CRUZ, S/N CENTRO;;0.0;;202210;202210PEISNF001OU
PIIBXG001OU;CDMA;PI;BAIXA GRANDE DO RIBEIRO;R RUA EZEQUIEL GOMES , S/N CENTRO;Raimundo de Sousa Costa Filho;92051352.0;;202210;202210PIIBXG001OU
PIICLP001OU;CDMA;PI;COLÔNIA DO PIAUÍ;R SAO JOSE, S/N CENTRO;José Carlos Silva Sousa;92049189.0;;202210;202210PIICLP001OU
PIIDEL001OU;CDMA;PI;DOM EXPEDITO LOPES;R TIMOLIAO DE BRITO, S/N CENTRO;Ivonei Moura Andrade;93269842.0;;202210;202210PIIDEL001OU
PIIDEL002OU;CDMA;PI;DOM EXPEDITO LOPES;AV JOSE HONORIO DE SOUSA, S/N CODO;Ivonei Moura Andrade;93269842.0;;202210;202210PIIDEL002OU
PIIIPD001OU;CDMA;PI;IPIRANGA DO PIAUÍ;R PROJETADA, 1 CIDADE NOVA;Ivonei Moura Andrade;93269842.0;;202210;202210PIIIPD001OU
PIIPRW001OU;CDMA;PI;PORTO;AV PRESIDENTE GETULIO VARGAS, 390 CENTRO;Jonatas Rego da Silva;92282177.0;;202210;202210PIIPRW001OU
PIISPY001OU;CDMA;PI;SÃO JOSÉ DO PIAUÍ;AV CENTRAL, S/N CENTRO;Ivonei Moura Andrade;93269842.0;;202210;202210PIISPY001OU
NBRPIC0007;CDMA;PI;TERESINA;R RIBAMAR PACHECO, 1439 FÁTIMA;Antonio Eugenio Pereira;32005435.0;Indefinido;202210;202210NBRPIC0007
RNIANM001OU;CDMA;RN;ANTÔNIO MARTINS;R LARGO DA PAZ, S/N CENTRO;Daniel Cruz Pereira;92278831.0;;202210;202210RNIANM001OU
RNICDW001OU;CDMA;RN;CAMPO REDONDO;R VIVALDO FERREIRA, S/N CENTRO;;0.0;;202210;202210RNICDW001OU
RNICUO001OU;CDMA;RN;CARNAÚBA DOS DANTAS;R FRANCISCO CALISTO DANTAS, S/N MONTE DO GALO;Daniel Cruz Pereira;92278831.0;;202210;202210RNICUO001OU
RNIJDR001OU;CDMA;RN;JANDAÍRA;AV ARISTOFANES FERNANDES, S/N CENTRO;Ricardo Bezerra Silva;92279287.0;;202210;202210RNIJDR001OU
RNIPLW001OU;CDMA;RN;PORTALEGRE;R dos Mirantes , S/N MIRANTE;Daniel Cruz Pereira;92278831.0;;202210;202210RNIPLW001OU
RNISOV001OU;CDMA;RN;SÃO VICENTE;R RUA MANOEL ALVES DOS SANTOS , S/N CENTRO;Daniel Cruz Pereira;92278831.0;;202210;202210RNISOV001OU
AIR 340;CDMA;AL;ARAPIRACA;RUA MAURÍCIO PEREIRA, S/N CENTRO;Noaldo Campos Souza;92049200.0;CLARO;202210;202210AIR 340
AIR 341;CDMA;AL;ARAPIRACA;RUA ANA ROSA DE OLIVEIRA, S/N SÃO LUIZ II;Noaldo Campos Souza;92049200.0;CLARO;202210;202210AIR 341
MCO 268;CDMA;AL;MACEIÓ;AVENIDA MESSIAS, 35 BENEDITO BENTES;MAXUEL DA COSTA VIEIRA;93269412.0;CLARO;202210;202210MCO 268
MCO 267;CDMA;AL;MACEIÓ;RUA DR CARLOS GOMES DE BARROS, S/N FEITOSA;MAXUEL DA COSTA VIEIRA;93269412.0;CLARO;202210;202210MCO 267
MCO 265;CDMA;AL;MACEIÓ;TRAVESSA 1ª JERUSALÉM, S/N CLIMA BOM;Edewaldo Da Silva Feitosa;32005260.0;CLARO;202210;202210MCO 265
MCO 263;CDMA;AL;MACEIÓ;RUA MIGUEL PALMEIRA, 903 FAROL;OCTAVIO AUGUSTO NOBREGA ALBUQUERQUE;163996.0;CLARO;202210;202210MCO 263
MCO 264;CDMA;AL;MACEIÓ;RUA DAS PALMEIRAS, 172 CHA DE BEBEDOURO;OCTAVIO AUGUSTO NOBREGA ALBUQUERQUE;163996.0;CLARO;202210;202210MCO 264
MCO 155;CDMA;AL;MACEIÓ;AVENIDA VEREADOR DARIO MARSIGLIA, 255 TABULEIRO DOS MARTINS;OCTAVIO AUGUSTO NOBREGA ALBUQUERQUE;163996.0;COMPARTILHADO;202210;202210MCO 155
MCO 139;CDMA;AL;MACEIÓ;RUA CORONEL PARANHOS, 1300 JACINTINHO;Pedro Avelino Dos Santos Junior;32003625.0;COMPARTILHADO;202210;202210MCO 139
MCO 262;CDMA;AL;MACEIÓ;RUA BACHAREL JACINTO BUARQUE DE HOLANDA, S/N POÇO;Pedro Avelino Dos Santos Junior;32003625.0;CLARO;202210;202210MCO 262
MCO 140;CDMA;AL;MACEIÓ;AV ALM ALVARO CALHEIROS, S/N MANGABEIRAS;;0.0;Embratel;202210;202210MCO 140
CBO 351;CDMA;PE;CABO;R ALTO DO CRUZEIRO, S/N SANTA MONICA;;0.0;ATC;202210;202210CBO 351
FLA 122;CDMA;CE;FORTALEZA;RUA ADOLFO HERBSTER, 144 BENFICA;Rogério Santos da Silva;92426517.0;COMPARTILHADO;202210;202210FLA 122
FLA 125;CDMA;CE;FORTALEZA;R GEN SILVA JUNIOR, 623 FATIMA;Rogério Santos da Silva;92426517.0;COMPARTILHADO;202210;202210FLA 125
CUC 130;CDMA;CE;CAUCAIA;RUA ENGENHEIRO JOÃO ALFREDO, S/N CENTRO;Rogério Santos da Silva;92426517.0;COMPARTILHADO;202210;202210CUC 130
FLA 214;CDMA;CE;FORTALEZA;RUA NENEM ARRUDA, S/N LAGOA REDONDA;Livio do Carmo Farias;92026301.0;CLARO;202210;202210FLA 214
FLA 114;CDMA;CE;FORTALEZA;RUA MARIA ILZA CIDRÃO ROCHA, S/N ENGENHEIRO LUCIANO CAVALCANTE;Livio do Carmo Farias;92026301.0;CLARO;202210;202210FLA 114
FLA 104;CDMA;CE;FORTALEZA;RUA JOAQUIM NABUCO, 1330 ALDEOTA;Sergio Caetano de Oliveira;93294465.0;COMPARTILHADO;202210;202210FLA 104
FLA 112;CDMA;CE;FORTALEZA;RUA DOUTOR LUIS TEIXEIRA DE ALCÂNTARA, S/N DE LOURDES;Sergio Caetano de Oliveira;93294465.0;CLARO;202210;202210FLA 112
FLA 126;CDMA;CE;FORTALEZA;RUA UIRAPURU, S/N MARAPONGA;Romulo Santos de Maria;92051351.0;CLARO;202210;202210FLA 126
FLA 210;CDMA;CE;MARACANAÚ;RUA JOÃO CANDEIA, 161 CIDADE NOVA;Romulo Santos de Maria;92051351.0;CLARO;202210;202210FLA 210
FLA 203;CDMA;CE;FORTALEZA;RUA CORONEL FRANCISCO BENTO, 462 AUTRAN NUNES;Livio do Carmo Farias;92026301.0;CLARO;202210;202210FLA 203
FLA 206;CDMA;CE;MARACANAÚ;RUA MONTEIRO LOBATO, S/N SIQUEIRA;Romulo Santos de Maria;92051351.0;CLARO;202210;202210FLA 206
FLA 209;CDMA;CE;FORTALEZA;AVENIDA GODOFREDO MACIEL, 4320 PARANGABA;Livio do Carmo Farias;92026301.0;CLARO;202210;202210FLA 209
FLA 202;CDMA;CE;FORTALEZA;RUA HONDURAS, 182 PADRE ANDRADE;Rogério Santos da Silva;92426517.0;CLARO;202210;202210FLA 202
CGB 362;CDMA;PE;CAMARAGIBE;R JOAO ALVES DE BARROS, S/N TIMBI;;0.0;ATC;202210;202210CGB 362
CGE 164;CDMA;PB;CAMPINA GRANDE;#N/DISP Erro:504, Erro:504 Erro:504;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE 164
CGE 166;CDMA;PB;CAMPINA GRANDE;R CORONEL JOAO LOURENCO PORTO, S/N CENTRO;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE 166
CGE 168;CDMA;PB;CAMPINA GRANDE;R AGRO JOAO MAURICIO MEDEIROS, S/N MONTE SANTO;ERIK DE ARAUJO DELMIRO;92416604.0;Embratel;202210;202210CGE 168
CGE 165;CDMA;PB;CAMPINA GRANDE;R CAP ADEMAR MAIA PAIVA, S/N ALTO BRANCO;ERIK DE ARAUJO DELMIRO;92416604.0;TIM;202210;202210CGE 165
CRU 173;CDMA;PE;CARUARU;R CAPITAO DE, S/N INDIANOPOLIS;;0.0;Embratel;202210;202210CRU 173
CRU 175;CDMA;PE;CARUARU;R LAURA TORRES, S/N RENDEIRAS;;0.0;ATC;202210;202210CRU 175
CRU 174;CDMA;PE;CARUARU;R DA PROSPERIDADE, S/N SALGADO;;0.0;Embratel;202210;202210CRU 174
CRU 172;CDMA;PE;CARUARU;R SILVEIRA MARTINS, S/N PETROPOLIS;;0.0;Embratel;202210;202210CRU 172
CUC 131;CDMA;CE;CAUCAIA;R ANDIRA, 1610 PARQUE GUADALAJARA;Rogério Santos da Silva;92426517.0;Embratel;202210;202210CUC 131
CUC 132;CDMA;CE;CAUCAIA;AV AIRTON SENNA, S/N ARIANOPOLIS;Rogério Santos da Silva;92426517.0;Embratel;202210;202210CUC 132
FLA 101;CDMA;CE;FORTALEZA;AV ALVARO CORREIA, 122 VARJOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 101
FLA 103;CDMA;CE;FORTALEZA;R PADRE MORORO, 1297 CENTRO;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA 103
FLA 127;CDMA;CE;FORTALEZA;R ENFO JOAQUIM PINTO, S/N CAJAZEIRAS;;0.0;T4U;202210;202210FLA 127
FLA 105;CDMA;CE;FORTALEZA;AV DA ABOLICAO, 2324 MEIRELES;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 105
FLA 107;CDMA;CE;FORTALEZA;R TAVARES COUTINHO, 2250 VARJOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 107
FLA 108;CDMA;CE;FORTALEZA;R VICENTE LINHARES, 1415 ALDEOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 108
FLA 109;CDMA;CE;FORTALEZA;R JOSE ODERNES FIGUEIREDO, 82 JOAQUIM TAVORA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 109
FLA 118;CDMA;CE;FORTALEZA;R DA FELICIDADE, 353 DIONISIO TORRES;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA 118
FLA 120;CDMA;CE;FORTALEZA;R PROF COSTA MENDES, 1803 RODOLFO TEOFILO;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA 120
FLA 201;CDMA;CE;FORTALEZA;R MOACIR, 265 BARRA DO CEARA;;0.0;TIM (FLBC 01);202210;202210FLA 201
FLA 215;CDMA;CE;FORTALEZA;AV EDILSON BRASIL SOARES, 1966 EDSON QUEIROZ;Livio do Carmo Farias;92026301.0;TIM (FLEQ 00);202210;202210FLA 215
FLA 212;CDMA;CE;FORTALEZA;R Marquês de Sapucaí, 70 Conjunto Palmeiras;Sergio Caetano de Oliveira;93294465.0;TIM (FLJS 00);202210;202210FLA 212
FLA 205;CDMA;CE;FORTALEZA;R DR FERNANDO AUGUSTO, S/N BOM JARDIM;Francisco Carlos da Silva;92025419.0;TIM (FLGL 00);202210;202210FLA 205
FLA 113;CDMA;CE;FORTALEZA;R DNA LEOPOLDINA, 1481 CENTRO;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 113
FLA 106;CDMA;CE;FORTALEZA;AV RUI BARBOSA, 1450 ALDEOTA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 106
FLA 111;CDMA;CE;FORTALEZA;R ASSIS CHATEAUBRIAND, 22 DIONISIO TORRES;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 111
FLA 124;CDMA;CE;FORTALEZA;AV JOSE LEON, S/N CIDADE DOS FUNCIONARIOS;Livio do Carmo Farias;92026301.0;Embratel;202210;202210FLA 124
FLA 140;CDMA;CE;FORTALEZA;AV CESAR CALS, 130 VICENTE PINZON;;0.0;ATC (FOR010AT);202210;202210FLA 140
FLA 129;CDMA;CE;FORTALEZA;R PROFA HELOISA FERREIRA LIMA, 199 SERRINHA;Francisco Carlos da Silva;92025419.0;Embratel;202210;202210FLA 129
FLA 207;CDMA;CE;FORTALEZA;R JULIO BRAGA, SN BONSUCESSO;Francisco Carlos da Silva;92025419.0;TIM (FLJA 00);202210;202210FLA 207
FLA 213;CDMA;CE;FORTALEZA;R JOAQUIM FELÍCIO, 419 MESSEJANA;Livio do Carmo Farias;92026301.0;Embratel;202210;202210FLA 213
FLA 121;CDMA;CE;FORTALEZA;R JORN NERTAN MACEDO, S/N PAPICU;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 121
FLA 211;CDMA;CE;FORTALEZA;R LARGO DO TANQUE, SN CONJUNTO ESPERANCA;Francisco Carlos da Silva;92025419.0;TIM (FLCS 00);202210;202210FLA 211
FLA 102;CDMA;CE;FORTALEZA;AV DA UNIVERSIDADE, 2083 BENFICA;Sergio Caetano de Oliveira;93294465.0;Embratel;202210;202210FLA 102
FLA 204;CDMA;CE;FORTALEZA;AV MOZART PINHEIRO DE LUCENA, S/N QUINTINO CUNHA;Rogério Santos da Silva;92426517.0;TIM (FLQC 00);202210;202210FLA 204
FLA 110;CDMA;CE;FORTALEZA;R PARA, S/N DEMOCRITO ROCHA;Rogério Santos da Silva;92426517.0;TIM (FLPN 01);202210;202210FLA 110
FLA 123;CDMA;CE;FORTALEZA;R PRIMEIRO DE JANEIRO, 90 MARAPONGA;Francisco Carlos da Silva;92025419.0;TIM (FLMP 00);202210;202210FLA 123
FLA 119;CDMA;CE;FORTALEZA;AV BEZERRA DE MENEZES, 2204 SAO GERARDO;Rogério Santos da Silva;92426517.0;Embratel;202210;202210FLA 119
JBO 202;CDMA;PE;JABOATÃO;R Cinqüenta e Seis (Ur-11), S/N Zumbi do Pacheco;;0.0;TIM;202210;202210JBO 202
JBO 212;CDMA;PE;JABOATÃO;R CENTRAL, S/N CENTRO;;0.0;CLARO;202210;202210JBO 212
JBO 208;CDMA;PE;JABOATÃO;R 13, 130 UR 11;;0.0;ATC;202210;202210JBO 208
JBO 131;CDMA;PE;JABOATÃO;R BACHAREL JOSE MARIO DE OLIVEIRA, S/N CANDEIAS;;0.0;Embratel;202210;202210JBO 131
JBO 130;CDMA;PE;JABOATÃO;R INGAZEIRA, S/N PIEDADE;;0.0;Embratel;202210;202210JBO 130
JPA 151;CDMA;PB;JOÃO PESSOA;R VALDECI ORTINS DIAS, 480 JARDIM CIDADE UNIVERSITARIA;Sergio Cruz Pereira;92029187.0;Embratel;202210;202210JPA 151
JPA 160;CDMA;PB;JOÃO PESSOA;R ENGENHEIRO AVIDOS, S/N NOVAIS;;0.0;OI;202210;202210JPA 160
JPA 153;CDMA;PB;JOÃO PESSOA;R JOAO BATISTA COELHO MADRUGA, S/N MANGABEIRA;Sergio Cruz Pereira;92029187.0;Embratel;202210;202210JPA 153
JPA 223;CDMA;PB;JOÃO PESSOA;#N/DISP Erro:504, Erro:504 Erro:504;Antonio Eugenio Pereira;32005435.0;TIM;202210;202210JPA 223
JPA 227;CDMA;PB;JOÃO PESSOA;R POE MANOEL XUDU, SN VALENTINA DE FIGUEIREDO;;0.0;TIM;202210;202210JPA 227
JPA 145;CDMA;PB;JOÃO PESSOA;R QUINTINO BOCAIUVA, S/N CENTRO;Sergio Cruz Pereira;92029187.0;Embratel;202210;202210JPA 145
JPA 152;CDMA;PB;JOÃO PESSOA;AV PRES FELIX ANTONIO, 344 CRUZ DAS ARMAS;Antonio Eugenio Pereira;32005435.0;Embratel;202210;202210JPA 152
JPA 150;CDMA;PB;JOÃO PESSOA;R MAJOR CIRAULO, S/N MANAIRA;Ronaldo Belo de Souza;92026804.0;Embratel;202210;202210JPA 150
JPA 149;CDMA;PB;JOÃO PESSOA;R MAL ESPERIDIAO ROSAS, 418 EXPEDICIONARIOS;Antonio Eugenio Pereira;32005435.0;Embratel;202210;202210JPA 149
JPA 146;CDMA;PB;JOÃO PESSOA;AV PAULINO PINTO, S/N TAMBAU;Antonio Eugenio Pereira;32005435.0;Embratel;202210;202210JPA 146
JPA 147;CDMA;PB;JOÃO PESSOA;AV ALMIRANTE BARROSO, 77 CENTRO;Antonio Eugenio Pereira;32005435.0;Embratel;202210;202210JPA 147
MCO 138;CDMA;AL;MACEIÓ;AV PROF VITAL BARBOSA, SN PONTA VERDE;;0.0;TIM;202210;202210MCO 138
MCO 266;CDMA;AL;MACEIÓ;R DEP. ARMANDO MOREIRA SOARES, S/N ANTARES;;0.0;TIM;202210;202210MCO 266
MCO 158;CDMA;AL;MACEIÓ;R MARECHAL MASCARENHAS DE MORAES, 153 CRUZ DAS ALMAS;;0.0;American Tower do Brasil C.I. Ltda;202210;202210MCO 158
MCO 136;CDMA;AL;MACEIÓ;AV HUMBERTO MENDES, 126 POCO;;0.0;Embratel;202210;202210MCO 136
MCO 144;CDMA;AL;MACEIÓ;R JARDIM MANGUABA, S/N FEITOSA;Noaldo Campos Souza;92049200.0;Embratel;202210;202210MCO 144
MCO 141;CDMA;AL;MACEIÓ;R SEN BERNARDO MENDONCA, 148 BEBEDOURO;;0.0;Embratel;202210;202210MCO 141
MCO 137;CDMA;AL;MACEIÓ;R ELISIO DE CARVALHO, 127 PAJUCARA;;0.0;Embratel;202210;202210MCO 137
MCO 142;CDMA;AL;MACEIÓ;R JOAO BEDA MAIA GOMES, S/N PONTA GROSSA;;0.0;Embratel;202210;202210MCO 142
MCO 154;CDMA;AL;MACEIÓ;R PRES GETULIO VARGAS, 77 BARRO DURO;;0.0;T4U Tower Management;202210;202210MCO 154
MCO 143;CDMA;AL;MACEIÓ;R SAMUEL LISBOA, S/N TRAPICHE DA BARRA;MAXUEL DA COSTA VIEIRA;93269412.0;Embratel;202210;202210MCO 143
MRO 214;CDMA;RN;MOSSORO;Erro:504 Erro:504, Erro:504 Erro:504;;0.0;OI;202210;202210MRO 214
MRO 213;CDMA;RN;MOSSORO;R FREIRINHO, 1078 PLANALTO TREZE DE MAIO;Daniel Cruz Pereira;92278831.0;T4U;202210;202210MRO 213
NTL 206;CDMA;RN;NATAL;Erro:504 Erro:504, Erro:504 Erro:504;;0.0;Embratel;202210;202210NTL 206
NTL 221;CDMA;RN;NATAL;Erro:504 Erro:504, Erro:504 Erro:504;;0.0;ATC;202210;202210NTL 221
NTL 204;CDMA;RN;NATAL;Erro:504 Erro:504, Erro:504 Erro:504;Ronaldo Rodrigues da Cruz;93275423.0;Embratel;202210;202210NTL 204
NTL 222;CDMA;RN;NATAL;R HENRIQUE DIAS, SN IGAPO;Ronaldo Rodrigues da Cruz;93275423.0;ATC;202210;202210NTL 222
NTL 207;CDMA;RN;NATAL;R MINAS GERAIS, 247 ESTADOS;Ronaldo Rodrigues da Cruz;93275423.0;Embratel;202210;202210NTL 207
NTL 226;CDMA;RN;NATAL;R JACUPIRANGA, S/N LAGOA AZUL;Ronaldo Rodrigues da Cruz;93275423.0;ATC;202210;202210NTL 226
NTL 209;CDMA;RN;NATAL;R PRAIA DE MURIU, 9188 PONTA NEGRA;Ronaldo Rodrigues da Cruz;93275423.0;Embratel;202210;202210NTL 209
NTL 210;CDMA;RN;NATAL;R PRES WASHINGTON LUIZ, 571 PITIMBU;Ronaldo Rodrigues da Cruz;93275423.0;Embratel;202210;202210NTL 210
NTL 202;CDMA;RN;NATAL;R SEG WANDERLEI, 1164 ALECRIM;;0.0;Embratel;202210;202210NTL 202
OLD 275;CDMA;PE;OLINDA;AV HAMURABI, 96 PASSARINHO;;0.0;OI;202210;202210OLD 275
OLD 163;CDMA;PE;OLINDA;R CINCO, 287 RIO DOCE;;0.0;T4U;202210;202210OLD 163
OLD 272;CDMA;PE;OLINDA;R OSCAR CARNEIRO, 256 JARDIM BRASIL;;0.0;TIM;202210;202210OLD 272
OLD 134;CDMA;PE;OLINDA;AV RUI BARBOSA, 765 JARDIM ATLANTICO;;0.0;Embratel;202210;202210OLD 134
OLD 133;CDMA;PE;OLINDA;R HUMBERTO DE LIMA MENDES, 518 CASA CAIADA;;0.0;Embratel;202210;202210OLD 133
OLD 132;CDMA;PE;OLINDA;R DO BONSUCESSO, 1084 BONSUCESSO;;0.0;Embratel;202210;202210OLD 132
CGE 181;CDMA;PB;CAMPINA GRANDE;RUA MARIA GOMES CARNEIRO, 849 TAMBOR;Marinaldo Albuquerque De Melo;32001284.0;CLARO;202210;202210CGE 181
JPA 221;CDMA;PB;JOÃO PESSOA;RUA SAUL SEBASTIÃO BEZERRA, S/N JOÃO PAULO II;Sergio Cruz Pereira;92029187.0;CLARO;202210;202210JPA 221
JPA 222;CDMA;PB;JOÃO PESSOA;RUA COMERCIANTE AMÉRICO RODRIGUES DE FRANÇA, S/N AGUA FRIA;Antonio Eugenio Pereira;32005435.0;CLARO;202210;202210JPA 222
JPA 224;CDMA;PB;JOÃO PESSOA;RUA HUMBERTO DE PAIVA DE CARVALHO, S/N CRISTO REDENTOR;Antonio Eugenio Pereira;32005435.0;CLARO;202210;202210JPA 224
IYN ITB;CDMA;PB;ITABAIANA;RODOVIA BR 054, S/N ZONA RURAL;Sergio Cruz Pereira;92029187.0;CLARO;202210;202210IYN ITB
JPA 226;CDMA;PB;JOÃO PESSOA;RUA SEBASTIÃO INTERAMINENSE, 602 BESSA;Antonio Eugenio Pereira;32005435.0;CLARO;202210;202210JPA 226
JPA 225;CDMA;PB;JOÃO PESSOA;RUA CORONEL JOCA VELHO, S/N ALTO DO MATEUS;Antonio Eugenio Pereira;32005435.0;CLARO;202210;202210JPA 225
JBO 129;CDMA;PE;JABOATÃO DOS GUARARAPES;RUA PROFESSORA SILVIA FERREIRA, S/N PIEDADE;Fábio Luiz Aquino de Almeida;32019652.0;COMPARTILHADO;202210;202210JBO 129
RCE 116;CDMA;PE;RECIFE;AVENIDA VINTE DE JANEIRO, 559 BOA VIAGEM;Fábio Luiz Aquino de Almeida;32019652.0;COMPARTILHADO;202210;202210RCE 116
CBO 350;CDMA;PE;CABO DE SANTO AGOSTINHO;AVENIDA NOSSA SENHORA DO BOM CONSELHO, S/N PONTE DOS CARVALHOS;Jadielson Santos Silva;92042404.0;CLARO;202210;202210CBO 350
CGB 360;CDMA;PE;CAMARAGIBE;RUA ALBERTO PEREIRA LEAL, S/N NAZARÉ;Daisy Clistian Rocha;92267152.0;CLARO;202210;202210CGB 360
CRU 191;CDMA;PE;CARUARU;R JOSE MARQUES FONTES, S/N KENNEDY;Antonio Batista da Silva Filho;92041106.0;CLARO;202210;202210CRU 191
JBO 205;CDMA;PE;RECIFE;RUA OURO VERDE, S/N TEJIPIÓ;Ricardo Barbosa da Silva;92043015.0;CLARO;202210;202210JBO 205
RCE 106;CDMA;PE;RECIFE;AVENIDA MASCARENHAS DE MORAIS, 1189 IMBIRIBEIRA;Ricardo Barbosa da Silva;92043015.0;COMPARTILHADO;202210;202210RCE 106
JBO 203;CDMA;PE;JABOATÃO DOS GUARARAPES;RUA VINTE E UM DE ABRIL, 252 SOCORRO;Ricardo Barbosa da Silva;92043015.0;CLARO;202210;202210JBO 203
JBO 207;CDMA;PE;JABOATÃO DOS GUARARAPES;RUA HUMAITÁ, S/N VISTA ALEGRE;Ricardo Barbosa da Silva;92043015.0;CLARO;202210;202210JBO 207
JBO 210;CDMA;PE;JABOATÃO DOS GUARARAPES;RUA PADRE NESTOR DE ALENCAR, S/N CANDEIAS;Ricardo Barbosa da Silva;92043015.0;CLARO;202210;202210JBO 210
JBO 201;CDMA;PE;JABOATÃO DOS GUARARAPES;AVENIDA BARRETO DE MENEZES, S/N GUARARAPES;Ricardo Barbosa da Silva;92043015.0;CLARO;202210;202210JBO 201
JBO 204;CDMA;PE;JABOATÃO DOS GUARARAPES;AVENIDA GOVERNADOR AGAMENON MAGALHÃES, 696 CAVALEIRO;Ricardo Barbosa da Silva;92043015.0;CLARO;202210;202210JBO 204
JBO 211;CDMA;PE;JABOATÃO DOS GUARARAPES;RUA AMAMBAÍ, S/N CANDEIAS;Ricardo Barbosa da Silva;92043015.0;CLARO;202210;202210JBO 211
RCE 126;CDMA;PE;RECIFE;RUA POLONI, 216 VÁRZEA;Marden Soares da Silva;92338045.0;CLARO;202210;202210RCE 126
RCE 121;CDMA;PE;RECIFE;RUA DO BOM PASTOR, S/N IPUTINGA;Marden Soares da Silva;92338045.0;COMPARTILHADO;202210;202210RCE 121
RCE 110;CDMA;PE;RECIFE;RUA RUA CARLOS DE OLIVEIRA FILHO, S/N PRADO;Marden Soares da Silva;92338045.0;COMPARTILHADO;202210;202210RCE 110
RCE 271;CDMA;PE;JABOATÃO;R DIVISOPOLIS, 286 DOIS UNIDOS;Marden Soares da Silva;92338045.0;CLARO;202210;202210RCE 271
RCE 118;CDMA;PE;RECIFE;RUA FLÁVIO GUERRA, 14 MACAXEIRA;Marden Soares da Silva;92338045.0;CLARO;202210;202210RCE 118
OLD 273;CDMA;PE;OLINDA;RUA VERDE MARES, 7 OURO PRETO;Severino Ramos Teofilo Francisco;92051128.0;CLARO;202210;202210OLD 273
OLD 135;CDMA;PE;OLINDA;RUA WALDEMAR PAULINO DOS SANTOS, 735 A VARADOURO;Severino Ramos Teofilo Francisco;92051128.0;COMPARTILHADO;202210;202210OLD 135
PTA 102;CDMA;PE;PETROLINA;AVENIDA MONSENHOR ANGELO SAMPAIO, 696 VILA EDUARDO;Ciro Pires Bastos;93269164.0;COMPARTILHADO;202210;202210PTA 102
PUI 282;CDMA;PE;PAULISTA;RUA ALTO DO SUMARÉ, S/N AURORA;Severino Ramos Teofilo Francisco;92051128.0;CLARO;202210;202210PUI 282
PUI 284;CDMA;PE;PAULISTA;RUA NELSON FERREIRA, S/N MARANGUAPE I;Severino Ramos Teofilo Francisco;92051128.0;CLARO;202210;202210PUI 284
PUI 283;CDMA;PE;PAULISTA;AV INGO HENRING, S/N CAETES II;Severino Ramos Teofilo Francisco;92051128.0;CLARO;202210;202210PUI 283
TSA 215;CDMA;PI;TERESINA;AVENIDA DOUTOR ANTÔNIO PEREIRA MARTINS, S/N ALTO ALEGRE;Claudio Gomes de Oliveira;32006478.0;CLARO;202210;202210TSA 215
TSA 210;CDMA;PI;TERESINA;RUA SEIS, S/N VALE QUEM TEM;Claudio Gomes de Oliveira;32006478.0;CLARO;202210;202210TSA 210
TSA 201;CDMA;PI;TERESINA;RUA DAVID CALDAS, 532 CENTRO;Claudio Gomes de Oliveira;32006478.0;COMPARTILHADO;202210;202210TSA 201
TSA 205;CDMA;PI;TERESINA;RUA DOUTORA ALAÍDE MARQUES, 2409 PLANALTO;Laureny Rodrigues de Carvalho;93269844.0;COMPARTILHADO;202210;202210TSA 205
TSA 202;CDMA;PI;TERESINA;RUA GOIÁS, 818 PICARRA;Laureny Rodrigues de Carvalho;93269844.0;COMPARTILHADO;202210;202210TSA 202
PTA 291;CDMA;PE;PETROLINA;ROD BR 407, S/N JARDIM SAO PAULO;;0.0;CLARO;202210;202210PTA 291
PTA 101;CDMA;PE;PETROLINA;R PIRPIRITUBA, 16 CENTRO;;0.0;Embratel;202210;202210PTA 101
PUI 162;CDMA;PE;PAULISTA;R JOAO PEREIRA DE OLIVEIRA, 318 JANGA;;0.0;T4U;202210;202210PUI 162
PUI 161;CDMA;PE;PAULISTA;R BERTOPOLIS, S/N NOSSA SENHORA DO O;;0.0;T4U;202210;202210PUI 161
